Round,Result,Running_Money,Debug
1,Loss,999,"Result: Loss, Money: $999"
2,Win,1000,"Result: Win, Money: $1000"
3,Loss,999,"Result: Loss, Money: $999"
4,Loss,997,"Result: Loss, Money: $997"
5,Loss,996,"Result: Loss, Money: $996"
6,Loss,995,"Result: Loss, Money: $995"
7,Win,996,"Result: Win, Money: $996"
8,Loss,995,"Result: Loss, Money: $995"
9,Win,996,"Result: Win, Money: $996"
10,Loss,995,"Result: Loss, Money: $995"
11,Win,996,"Result: Win, Money: $996"
12,Win,997,"Result: Win, Money: $997"
13,Push,997,"Result: Push, Money: $997"
14,Win,998,"Result: Win, Money: $998"
15,Loss,997,"Result: Loss, Money: $997"
16,Win,998,"Result: Win, Money: $998"
17,Loss,997,"Result: Loss, Money: $997"
18,Loss,996,"Result: Loss, Money: $996"
19,Loss,994,"Result: Loss, Money: $994"
20,Win,995,"Result: Win, Money: $995"
21,Win,996,"Result: Win, Money: $996"
22,Win,997,"Result: Win, Money: $997"
23,Loss,996,"Result: Loss, Money: $996"
24,Win,997,"Result: Win, Money: $997"
25,Loss,996,"Result: Loss, Money: $996"
26,Win,997,"Result: Win, Money: $997"
27,Win,998,"Result: Win, Money: $998"
28,Win,999,"Result: Win, Money: $999"
29,Loss,998,"Result: Loss, Money: $998"
30,Win,999,"Result: Win, Money: $999"
31,Loss,998,"Result: Loss, Money: $998"
32,Loss,997,"Result: Loss, Money: $997"
33,Loss,996,"Result: Loss, Money: $996"
34,Win,997,"Result: Win, Money: $997"
35,Push,997,"Result: Push, Money: $997"
36,Push,997,"Result: Push, Money: $997"
37,Win,998,"Result: Win, Money: $998"
38,Loss,997,"Result: Loss, Money: $997"
39,Win,999,"Result: Win, Money: $999"
40,Win,1000,"Result: Win, Money: $1000"
41,Loss,999,"Result: Loss, Money: $999"
42,Loss,998,"Result: Loss, Money: $998"
43,Win,999,"Result: Win, Money: $999"
44,Loss,998,"Result: Loss, Money: $998"
45,Win,1000,"Result: Win, Money: $1000"
46,Loss,999,"Result: Loss, Money: $999"
47,Loss,998,"Result: Loss, Money: $998"
48,Loss,997,"Result: Loss, Money: $997"
49,Loss,996,"Result: Loss, Money: $996"
50,Push,996,"Result: Push, Money: $996"
51,Win,998,"Result: Win, Money: $998"
52,Loss,997,"Result: Loss, Money: $997"
53,Win,998,"Result: Win, Money: $998"
54,Loss,996,"Result: Loss, Money: $996"
55,Win,998,"Result: Win, Money: $998"
56,Loss,997,"Result: Loss, Money: $997"
57,Win,998,"Result: Win, Money: $998"
58,Loss,997,"Result: Loss, Money: $997"
59,Loss,996,"Result: Loss, Money: $996"
60,Push,996,"Result: Push, Money: $996"
61,Push,996,"Result: Push, Money: $996"
62,Loss,995,"Result: Loss, Money: $995"
63,Win,996,"Result: Win, Money: $996"
64,Loss,995,"Result: Loss, Money: $995"
65,Loss,994,"Result: Loss, Money: $994"
66,Push,994,"Result: Push, Money: $994"
67,Win,995,"Result: Win, Money: $995"
68,Push,995,"Result: Push, Money: $995"
69,Win,996,"Result: Win, Money: $996"
70,Win,997,"Result: Win, Money: $997"
71,Push,997,"Result: Push, Money: $997"
72,Loss,996,"Result: Loss, Money: $996"
73,Loss,995,"Result: Loss, Money: $995"
74,Win,996,"Result: Win, Money: $996"
75,Loss,994,"Result: Loss, Money: $994"
76,Loss,993,"Result: Loss, Money: $993"
77,Win,994,"Result: Win, Money: $994"
78,Loss,993,"Result: Loss, Money: $993"
79,Push,993,"Result: Push, Money: $993"
80,Loss,992,"Result: Loss, Money: $992"
81,Loss,991,"Result: Loss, Money: $991"
82,Push,991,"Result: Push, Money: $991"
83,Loss,990,"Result: Loss, Money: $990"
84,Loss,989,"Result: Loss, Money: $989"
85,Win,990,"Result: Win, Money: $990"
86,Loss,989,"Result: Loss, Money: $989"
87,Win,990,"Result: Win, Money: $990"
88,Win,991,"Result: Win, Money: $991"
89,Loss,990,"Result: Loss, Money: $990"
90,Loss,989,"Result: Loss, Money: $989"
91,Loss,988,"Result: Loss, Money: $988"
92,Loss,986,"Result: Loss, Money: $986"
93,Win,987,"Result: Win, Money: $987"
94,Win,988,"Result: Win, Money: $988"
95,Loss,987,"Result: Loss, Money: $987"
96,Push,987,"Result: Push, Money: $987"
97,Loss,986,"Result: Loss, Money: $986"
98,Win,988,"Result: Win, Money: $988"
99,Loss,987,"Result: Loss, Money: $987"
100,Loss,986,"Result: Loss, Money: $986"
101,Loss,985,"Result: Loss, Money: $985"
102,Win,986,"Result: Win, Money: $986"
103,Loss,985,"Result: Loss, Money: $985"
104,Win,986,"Result: Win, Money: $986"
105,Win,987,"Result: Win, Money: $987"
106,Win,988,"Result: Win, Money: $988"
107,Loss,987,"Result: Loss, Money: $987"
108,Win,988,"Result: Win, Money: $988"
109,Loss,987,"Result: Loss, Money: $987"
110,Win,988,"Result: Win, Money: $988"
111,Loss,986,"Result: Loss, Money: $986"
112,Push,986,"Result: Push, Money: $986"
113,Loss,985,"Result: Loss, Money: $985"
114,Win,986,"Result: Win, Money: $986"
115,Push,986,"Result: Push, Money: $986"
116,Win,987,"Result: Win, Money: $987"
117,Loss,986,"Result: Loss, Money: $986"
118,Loss,985,"Result: Loss, Money: $985"
119,Loss,984,"Result: Loss, Money: $984"
120,Win,985,"Result: Win, Money: $985"
121,Win,987,"Result: Win, Money: $987"
122,Loss,986,"Result: Loss, Money: $986"
123,Loss,985,"Result: Loss, Money: $985"
124,Loss,984,"Result: Loss, Money: $984"
125,Loss,983,"Result: Loss, Money: $983"
126,Push,983,"Result: Push, Money: $983"
127,Win,984,"Result: Win, Money: $984"
128,Loss,983,"Result: Loss, Money: $983"
129,Loss,982,"Result: Loss, Money: $982"
130,Win,983,"Result: Win, Money: $983"
131,Win,984,"Result: Win, Money: $984"
132,Loss,983,"Result: Loss, Money: $983"
133,Loss,981,"Result: Loss, Money: $981"
134,Loss,980,"Result: Loss, Money: $980"
135,Loss,979,"Result: Loss, Money: $979"
136,Win,980,"Result: Win, Money: $980"
137,Loss,979,"Result: Loss, Money: $979"
